一2542556
吠   1054
吼   1694
呀  44977
吱    558
含  28115
吟   5802
听     83
囪    117
困  18744
囤    181
囫     45
坊   2511
坑   4295
址  18844
坍    240
均  24957
坎   2649
圾   8302
坐  32688
坏     68
圻     74
壯   8274
夾   5754
妝   2032
妒   1712
妨  10928
妞   1055
妣     38
妙  13233
妖   4491
妍    266
妤    167
妓   2099
妊     31
妥   5103
孝   6022
孜    309
孚    287
孛     24
完 138826
宋  11270
宏  19842
尬   1871
局  48936
屁  11781
尿   3328
尾  15029
岐    658
岑    323
岔    881
岌    148
巫   7709
希 120764
序  21328
庇    439
床  11827
廷   6457
弄  25855
弟 141812
彤    480
形  80289
彷   4222
役  11706
忘  57999
忌   8216
志  49868
忍  23037
忱    599
快 159776
忸     87
忪    167
戒   7180
我2584497
抄   7036
抗  20511
抖   3140
技  54857
扶   3238
抉   1423
扭   5035
把 197579
扼    573
找 166755
批  23428
扳   1394
抒   1861
扯   7783
折  14728
扮   4747
投  94384
抓  37600
抑   4322
抆     12
改 128407
攻  33870
攸    769
旱    491
更 152691
束  21572
李  72434
杏    931
材  19462
村  15667
杜   8669
杖   1762
杞    259
杉   4947
杆   1083
杠     48
杓     61
杗     14
步  51305
每 131090
求  99296
汞    380
沙  23234
沁    534
沈  13634
沉  14364
沅    182
沛   1788
汪   9235
決  97148
沐    727
汰   2062
沌   1704
汨    242
沖   8783
沒 638184
汽  15769
沃    266
汲    877
汾     63
汴     34
沆     26
汶    452
沍     21
沔     13
沘      9
沂    343
灶    262
灼    491
災   5317
灸    502
牢   4712
牡   4509
牠  11796
狄   1582
狂  40001
玖    599
甬    137
甫   2115
男 133706
甸    521
皂    874
盯   1210
矣   5225
私  21082
秀  20948
禿   2552
究  99256
系 240826
罕   1513
肖   1527
肓    122
肝   3945
肘    641
肛    633
肚   6730
育  55965
良  34852
芒   4888
芋   1635
芍     85
見 183680
角  48659
言 136534
谷   8590
豆  13896
豕     82
貝  15970
赤   9841
走  93148
足  47014
身 141638
車 244964
辛  18232
辰   2923
迂    459
迆     27
迅   5239
迄   1733
巡   5165
邑    150
邢    188
邪  10263
邦  10997
那 610340
酉    325
釆    218
里  39663
防  30067
阮   4447
阱   1177
阪   1854
阬     11
並 135265
乖  20396
乳   3636
事 312553
些 304517
亞  33773
享  24727
京  13353
佯    379
依  50589
侍   1858
佳  39101
使 216201
佬   2910
供  59310
例  53106
來 812950
侃    718
佰   1234
併   4546
侈    439
佩  11828
佻     52
侖    544
佾     36
侏   1055
侑     60
佺     18
兔   6103
兒  85526
兕     13
兩 206181
具  45052
其 317897
典  30356
冽    235
函  10317
刻  28243
券   2271
刷   5762
刺  14544
到1310850
刮   3429
制  74134
剁    187
劾    287
劻      6
卒   5266
協  23872
卓   3719
卑   3487
卦   1663
卷  13551
卸   3897
卹     41
取 119840
叔   5047
受 116232
味  42200
呵  99062
咖   7056
呸    750
咕   2050
咀    378
呻   2076
呷    241
咄    442
咒   3729
咆    747
呼  24343
咐    455
呱   1165
呶     30
和 333422
咚   1786
呢 217180
周  31546
咋    213
命  87293
咎    910
固  13557
垃   8328
坷    335
坪   7643
坩     27
坡   7863
坦   8188
坤   5638
坼     21
夜  59755
奉   6590
奇  73699
奈  12708
奄    565
奔   7254
妾    476
妻   8546
委  29585
妹  38407
妮   5930
姑   8945
姆   7459
姐  28608
姍    214
始  72626
姓  21573
姊  10618
妯     25
妳 106116
姒    162
姅     10
孟  10216
孤  20746
季  22542
宗  33457
定 322471
官  38147
宜  40410
宙   9923
宛   1605
尚  28869
屈   3806
居  35883
屆  18051
岷     76
岡   2949
岸  10557
岩   2776
岫    838
岱    868
岳   4201
帘    148
帚    132
帖   3096
帕   2361
帛    142
帑    209
幸  31266
庚   1485
店  33183
府  29469
底  68724
庖    142
延  13893
弦   8245
弧    970
弩    369
往  63499
征   5442
彿   3602
彼  18061
忝    200
忠  20273
忽  15002
念  70963
忿   1353
怏     51
怔    482
怯    839
怵     68
怖   6167
怪  71713
怕  59891
怡   8122
性 199183
怩     40
怫     29
怛     63
或 248845
戕    185
房  30239
戾    318
所 558469
承  27831
拉  47785
拌    597
拄    120
抿     45
拂   2075
抹   8447
拒  10418
招  30651
披   5255
拓   3487
拔   8059
拋   5467
拈    352
抨    639
抽  17572
押   1668
拐   1463
拙   1719
拇    421
拍  19462
抵   7258
拚    950
抱  34049
拘   4064
拖  12492
拗    334
拆   9013
抬   5618
拎    282
放 126684
斧   1531
於 353628
旺   4958
昔   2715
易  63406
昌  10225
昆   4423
昂   3527
明 234613
昀    628
昏   7761
昕    403
昊    262
昇  13610
服  71299
朋  85775
杭    553
枋    271
枕   2303
東 183624
果 324143
杳    171
杷     79
枇     57
枝   5783
林 116983
杯  15229
杰   4474
板  81815
枉   3660
松  28277
析  16630
杵    297
枚   1993
枓     37
杼     27
杪     22
杲     31
欣  26430
武  48104
歧   3005
歿    119
氓   2004
氛   5013
泣   4626
注  52732
泳   7167
沱    489
泌    875
泥   8245
河  22976
沽    271
沾   2605
沼    613
波  27996
沫   1325
法 370276
泓   1388
沸   1101
泄    488
油  52331
況  63334
沮   1277
泗     69
泅     52
泱    216
沿   5129
治  62946
泡  17478
泛   4487
泊   4706
沬    261
泯    269
泜     14
泖      9
泠    524
炕     99
炎   6632
炒   3364
炊    779
炙    460
爬   7216
爭  44699
爸  15817
版 146807
牧   5908
物 119523
狀  34746
狎     55
狙    475
狗  39154
狐   9282
玩 134519
玨     26
玟    457
玫   8543
玥     63
甽     14
疝    136
疙    365
疚    717
的6538132
盂     52
盲   3315
直 125478
知 434311
矽    971
社 156267
祀    215
祁    588
秉   2094
秈     10
空 113648
穹   9675
竺    502
糾   3496
罔    354
羌     92
羋     15
者 283962
肺   1223
肥   8612
肢   3500
肱     69
股  17617
肫     27
肩   5233
肴     55
肪    425
肯  17482
臥  10231
臾    129
舍  72675
芳  15327
芝   3421
芙   1672
芭   4139
芽   1586
芟     16
芹   1097
花 101015
芬  10527
芥    895
芯    547
芸   1214
芣     17
芰      8
芾     29
芷   1783
虎  26973
虱    324
初  45256
表 160779
軋    197
迎  42805
返   4554
近 115913
邵   1064
邸    137
邱   9107
邶     16
采   7305
金 108819
長 237093
門  89827
阜    177
陀   5749
阿  88578
阻  10268
附  55735
陂     57
隹    194
雨  35918
青  44152
非 128617
亟   1431
亭   3112
亮  31253
信 406628
侵   7634
侯   6513
便 114674
俠  18834
俑    391
俏   1129
保  99970
促   6018
侶   4159
俘    443
俟    479
俊  32096
俗  11307
侮   1980
俐    951
俄   3950
係  43117
俚     95
俎    177
俞    809
侷    482
兗     63
冒  14607
冑     74
冠  22729
剎   2698
剃   2307
削   2273
前 339595
剌    268
剋   1618
則 108300
勇  21693
勉   7079
勃   3134
勁   8089
匍     69
南  77470
卻 112237
厚   9982
叛   3913
咬   6226
哀  13603
咨    390
哎   5596
哉   5742
咸    552
咦   6444
咳   3080
哇  42443
哂     74
咽    706
咪   6696
品  72832
哄   1225
哈 125750
咯    401
咫   1110
咱   8921
咻    451
咩    325
咧  17663
咿    400
囿     99
垂   4398
型  73353
垠    365
垣    402
垢    843
城 257697
垮   2215
垓    240
奕   1404
契   5735
奏  27644
奎    961
奐     81
姜   1767
姘     58
姿   6072
姣    171
姨   1213
